出表日期,公司代號,公司名稱,股東常(臨時)會日期-常或臨時,股東常(臨時)會日期-日期,停止過戶起訖日期-起,停止過戶起訖日期-訖,預擬配發現金(股利)(元/股)-盈餘,預擬配發現金(股利)(元/股)-法定盈餘公積、資本公積,預擬配股(元/股)-盈餘,預擬配股(元/股)-法定盈餘公積、資本公積,擬現金增資金額(元),現金增資認購率(%),員工紅利-現金紅利(元),員工紅利-股票紅利(股),特別股股利(元/股),董監酬勞(元),公告日期,公告時間,種類
"1120831","4541","晟田","常會","1120613","1120415","1120613","","","","","","","0","0","","0","1120322","165339",""
"1120831","4542","科嶠","常會","1120605","1120407","1120605","","","","","","","0","0","","0","1120314","182046",""
"1120831","4543","萬在","常會","1120529","1120331","1120529","","","","","","","0","0","","0","1120313","145233",""
"1120831","4549","桓達","常會","1120609","1120411","1120609","","","","","","","0","0","","0","1120317","175306",""
"1120831","4550","長佳","常會","1120613","1120415","1120613","","","","","","","0","0","","0","1120324","84913",""
"1120831","4554","橙的","常會","1120616","1120418","1120616","","","","","","","0","0","","0","1120327","181334",""
"1120831","4556","旭然","常會","1120630","1120502","1120630","","","","","","","0","0","","0","1120410","113436",""
"1120831","4558","寶緯","常會","1120526","1120328","1120526","","","","","","","0","0","","0","1120407","230545",""
"1120831","4561","健椿","常會","1120627","1120429","1120627","","","","","","","0","0","","0","1120317","160939",""
"1120831","4563","百德","常會","1120615","1120417","1120615","","","","","","","0","0","","0","1120325","110742",""
"1120831","4568","科際精密","常會","1120620","1120422","1120620","","","","","","","0","0","","0","1120510","185511",""
"1120831","4577","達航科技","常會","1120529","1120331","1120529","","","","","","","0","0","","0","1120315","105109",""
"1120831","4580","捷流閥業","常會","1120630","1120502","1120630","","","","","","","0","0","","0","1120412","160330",""
"1120831","4584","君帆","常會","1120529","1120331","1120529","","","","","","","0","0","","0","1120314","184445",""
"1120831","4609","唐鋒","常會","1120630","1120502","1120630","","","","","","","0","0","","0","1120412","173020",""
"1120831","4702","中美實","常會","1120629","1120501","1120629","","","","","","","0","0","","0","1120330","160223",""
"1120831","4706","大恭","常會","1120614","1120416","1120614","","","","","0","0.00","0","0","","0","1120325","135638",""
"1120831","4707","磐亞","常會","1120609","1120411","1120609","","","","","","","0","0","","0","1120313","174914",""
"1120831","4711","永純","常會","1120619","1120421","1120619","","","","","","","0","0","","0","1120314","173426",""
"1120831","4712","福格創新","常會","1120630","1120502","1120630","","","","","","","0","0","","0","1120517","162040",""
"1120831","4714","永捷","常會","1120529","1120331","1120529","","","","","","","0","0","","0","1120322","134818",""
"1120831","4716","大立","常會","1120619","1120421","1120619","","","","","","","0","0","","0","1120331","141527",""
"1120831","4721","美琪瑪","常會","1120627","1120429","1120627","","","","","","","0","0","","0","1120410","190907",""
"1120831","4726","永昕","常會","1120620","1120422","1120620","","","","","","","0","0","","0","1120316","113405",""
"1120831","4728","雙美","常會","1120629","1120501","1120629","","","","","","","0","0","","0","1120504","205139",""
"1120831","4729","熒茂","常會","1120614","1120416","1120614","","","","","","","0","0","","0","1120313","153836",""
"1120831","4735","豪展","常會","1120607","1120409","1120607","","","","","","","0","0","","0","1120412","143727",""
"1120831","4736","泰博","常會","1120524","1120326","1120524","","","","","","","0","0","","0","1120308","145033",""
"1120831","4741","泓瀚","常會","1120612","1120414","1120612","","","","","","","0","0","","0","1120323","115207",""
"1120831","4743","合一","常會","1120418","1120218","1120418","","","","","","","0","0","","0","1120301","180623",""
"1120831","4744","皇將","常會","1120615","1120417","1120615","","","","","","","0","0","","0","1120420","172838",""
"1120831","4745","合富-KY","常會","1120524","1120326","1120524","","","","","","","0","0","","0","1120323","85100",""
"1120831","4747","強生製藥","常會","1120524","1120326","1120524","","","","","","","0","0","","0","1120302","212106",""
"1120831","4754","國碳科","常會","1120627","1120429","1120627","","","","","","","0","0","","0","1120517","105654",""
"1120831","4760","勤凱科技","常會","1120614","1120416","1120614","","","","","","","0","0","","0","1120308","152737",""
"1120831","4767","誠泰科技","常會","1120619","1120421","1120619","","","","","","","0","0","","0","1120315","162543",""
"1120831","4768","晶呈科技","常會","1120616","1120418","1120616","","","","","","","0","0","","0","1120313","161608",""
"1120831","4804","大略-KY","常會","1120629","1120501","1120629","","","","","","","0","0","","0","1120331","202727",""
